Started at: 2022-01-15 20:19:15.505351
Comment: after fixing sdm size to include address memoryArguments:
hdfsa.py -s 100 -a 10 -c 10 -w 512 -m 1724 -a 11 -b 72072 -j 1 -f 1 -t 3 -e 6872
Settings:
s num_states: 100
r num_actions: 10
c num_choices: 10
t num_trials: 3
v verbosity: 0
w sdm_word_length: 512
o sdm_method: 0
k sdm_address_method: 0
b bind_word_length: 72072
m num_rows: 1724
a activation_count: 11
n noise_percent: 0.0
d debug: 0
g generate_error_vs_storage_table: 0
f generate_error_vs_bitflips_table: 1
j error_vs_bitflips_table_start_at_equal_storage: 1
x table_start: 100000
y table_step: 100000
z table_stop: 1000000
q exclude_item_memory: 0
e seed: 6872

-----Data starts here-----
rid	pflip	mtype	mem_len	error_count	fraction_error	probability_of_error	mean_bit_error_count	stdev_bit_error_count	mean_dhd	stdev_dhd	total_storage_required
7.2	30.0	bind	72072	429	0.429	0.4235860144577909	35673.312	133.68374620723344	36036.61054545455	132.93864489495533	999999
7.2	30.0	sdm	1724	0	0.0	1.4116162273285105e-08	159.92	11.07466695879602	255.87666666666667	11.27857472997031	1000064
7.3	30.0	bind	72072	423	0.423	0.42151959431062574	35671.55	128.03285481434798	36036.859696969696	133.1354133546299	999999
7.3	30.0	sdm	1724	0	0.0	8.211255292338329e-09	159.112	11.296152400665417	255.9808080808081	11.273091214496342	1000064
8.1	35.0	bind	72072	675	0.675	0.6762641627760628	35764.466	132.1964021172011	36037.81435353535	132.16820064558073	999999
8.1	35.0	sdm	1724	0	0.0	8.181189040976108e-05	182.589	10.940373429219441	255.8269797979798	11.265792996096165	1000064
8.2	35.0	bind	72072	668	0.668	0.6668358021505609	35762.507	136.45646308371514	36036.88064646465	131.58086879313828	999999
8.2	35.0	sdm	1724	0	0.0	8.089991956941413e-05	182.592	10.99356149727623	255.95333333333332	11.27792655007151	1000064
8.3	35.0	bind	72072	680	0.68	0.6737253774413524	35767.523	138.2488199125302	36037.496555555554	132.5238565249699	999999
8.3	35.0	sdm	1724	0	0.0	7.055748619737934e-05	182.269	10.92703249006971	255.9460101010101	11.255257223324168	1000064
9.1	40.0	bind	72072	860	0.86	0.8624071806838716	35856.745	131.22867422914834	36037.865494949496	131.48823475538978	999999
9.1	40.0	sdm	1724	44	0.044	0.03610622024915976	205.485	10.912142312573176	255.89982828282828	11.276102973730575	1000064
9.2	40.0	bind	72072	850	0.85	0.8588540121033327	35851.086	130.38256869006003	36036.842707070704	131.17421720935522	999999
9.2	40.0	sdm	1724	31	0.031	0.030471129986665894	205.215	11.100540392115917	255.9281414141414	11.255671197922107	1000064
9.3	40.0	bind	72072	871	0.871	0.8649802860967264	35854.135	131.38395076080457	36037.296646464645	131.2832273578722	999999
9.3	40.0	sdm	1724	32	0.032	0.032060131771502215	206.333	10.808836289903828	256.0812121212121	11.292872006156605	1000064
10.1	45.0	bind	72072	952	0.952	0.9481681545357192	35942.831	136.89990512422943	36038.13218181818	130.84190110395463	999999
10.1	45.0	sdm	1724	587	0.587	0.5853634449375273	230.415	10.83328828819464	256.0912121212121	11.155066005921219	1000064
10.2	45.0	bind	72072	954	0.954	0.956175299327575	35943.998	134.4928262633971	36038.28097979798	129.8471356222781	999999
10.2	45.0	sdm	1724	579	0.579	0.5899147141055002	230.447	11.036620768967193	256.00575757575757	11.146975288286438	1000064
10.3	45.0	bind	72072	955	0.955	0.951775627316156	35945.731	136.90821925472372	36038.05297979798	130.24423289800828	999999
